iter	Logloss
0	0.6867171963
1	0.6804409598
2	0.675074146
3	0.6701608859
4	0.6650988817
5	0.6601905715
6	0.656187032
7	0.6524124585
8	0.6491732367
9	0.6466081773
10	0.6439719825
11	0.6408417427
12	0.6383393811
13	0.6365332096
14	0.6351034026
15	0.6327700084
16	0.6312979136
17	0.6299843015
18	0.6286434728
19	0.6270862767
20	0.6254515887
21	0.6240148662
22	0.6229100628
23	0.6220444619
24	0.6207098121
25	0.6196122749
26	0.6184038701
27	0.6176338202
28	0.6169961618
29	0.61588345
30	0.6152518769
31	0.6139726218
32	0.6128312082
33	0.6115494591
34	0.6104376818
35	0.6093287576
36	0.6085217569
37	0.6079781597
38	0.6074319734
39	0.6065216931
40	0.6060543162
41	0.6053883109
42	0.6047838778
43	0.6042134828
44	0.6033421886
45	0.6028596982
46	0.6021517149
47	0.6013491924
48	0.6009423535
49	0.6006124003
50	0.5996738816
51	0.5992828925
52	0.5988284019
53	0.5985454476
54	0.5981689858
55	0.597560057
56	0.5967838649
57	0.5950951032
58	0.5950027142
59	0.5945305129
60	0.5942993333
61	0.5936437883
62	0.5930439732
63	0.5924531004
64	0.5916658438
65	0.5906607287
66	0.5902593871
67	0.5897974962
68	0.5895549047
69	0.5892571383
70	0.5887507484
71	0.5883243429
72	0.5879909369
73	0.5875723488
74	0.5869464622
75	0.5865171586
76	0.5859885014
77	0.5848943865
78	0.5845236429
79	0.58392563
80	0.5830812233
81	0.5827040969
82	0.5821997707
83	0.5815902602
84	0.581076236
85	0.5804510684
86	0.5799166865
87	0.5793441457
88	0.5788978978
89	0.5786625567
90	0.578045521
91	0.5772176472
92	0.5769882725
93	0.5760638656
94	0.575614268
95	0.574819585
96	0.5741172884
97	0.5736127022
98	0.5729817006
99	0.5724775761
100	0.5722656519
101	0.5717846847
102	0.5711318845
103	0.5706636337
104	0.5704978241
105	0.5702773311
106	0.5696201124
107	0.5690866857
108	0.5686443874
109	0.5675170591
110	0.5667550565
111	0.5660996504
112	0.5656430817
113	0.5652751531
114	0.5645250545
115	0.5638129299
116	0.5630940083
117	0.5621971934
118	0.5615899348
119	0.5606568125
120	0.5601322996
121	0.5595997414
122	0.5589410625
123	0.5587883698
124	0.5585997383
125	0.5581092487
126	0.557588764
127	0.556681119
128	0.5564044223
129	0.5560954022
130	0.5554699252
131	0.5548203614
132	0.5541469513
133	0.5530573449
134	0.5523894073
135	0.5521288876
136	0.5515677281
137	0.5511300208
138	0.5508288881
139	0.5503314628
140	0.5495154251
141	0.548130214
142	0.547727642
143	0.5473598166
144	0.5466163568
145	0.5461565055
146	0.545552895
147	0.5449222457
148	0.5444322976
149	0.5433608594
150	0.5426688996
151	0.5421714577
152	0.5414732886
153	0.5407654088
154	0.540375191
155	0.5395952961
156	0.5393171979
157	0.5381684171
158	0.5366679061
159	0.5361416138
160	0.535868788
161	0.5344452279
162	0.5339163456
163	0.5332610605
164	0.5325954027
165	0.5321292715
166	0.5318203729
167	0.5311517825
168	0.5305051086
169	0.5292538908
170	0.5285393157
171	0.5283338129
172	0.5275442702
173	0.5271139957
174	0.5266919603
175	0.5262649297
176	0.5255452474
177	0.5249833873
178	0.5244277359
179	0.5239692122
180	0.5231345525
181	0.5224943536
182	0.5219174041
183	0.5215849853
184	0.5209091779
185	0.5202637153
186	0.5198032004
187	0.5191725572
188	0.5187145858
189	0.5184747186
190	0.5177860188
191	0.5172463934
192	0.5162394556
193	0.5152980549
194	0.5148733989
195	0.5137545551
196	0.5130716715
197	0.5124692531
198	0.5117826331
199	0.5109274013
