iter	Passed	Remaining
0	47	9423
1	48	4767
2	48	3213
3	49	2436
4	50	1968
5	51	1657
6	52	1435
7	52	1268
8	53	1137
9	54	1033
10	55	947
11	55	876
12	56	815
13	57	764
14	58	719
15	59	679
16	59	645
17	60	614
18	61	585
19	62	560
20	63	537
21	63	517
22	64	497
23	65	480
24	66	464
25	67	449
26	67	434
27	68	421
28	69	409
29	70	397
30	71	387
31	71	376
32	72	367
33	73	358
34	74	349
35	74	341
36	75	333
37	76	326
38	77	319
39	78	312
40	78	305
41	79	299
42	80	293
43	81	287
44	81	282
45	82	277
46	83	271
47	84	267
48	85	262
49	85	257
50	86	253
51	87	248
52	88	244
53	89	240
54	89	236
55	90	233
56	91	229
57	92	225
58	93	222
59	93	218
60	94	215
61	95	212
62	96	209
63	96	205
64	97	203
65	98	200
66	99	197
67	100	194
68	100	191
69	101	188
70	102	186
71	103	183
72	103	180
73	104	178
74	105	175
75	106	173
76	107	171
77	107	168
78	108	166
79	109	164
80	110	161
81	110	159
82	111	157
83	112	155
84	113	153
85	114	151
86	114	149
87	115	147
88	116	145
89	117	143
90	117	141
91	118	139
92	119	137
93	120	135
94	121	133
95	121	131
96	122	130
97	123	128
98	124	126
99	124	124
100	125	123
101	126	121
102	127	119
103	128	118
104	128	116
105	129	114
106	130	113
107	131	111
108	131	110
109	132	108
110	133	107
111	134	105
112	135	104
113	135	102
114	136	100
115	137	99
116	138	98
117	138	96
118	139	95
119	140	93
120	141	92
121	142	90
122	142	89
123	143	88
124	144	86
125	145	85
126	146	83
127	146	82
128	147	81
129	148	79
130	149	78
131	149	77
132	150	75
133	151	74
134	152	73
135	153	72
136	153	70
137	154	69
138	155	68
139	156	66
140	157	65
141	157	64
142	158	63
143	159	62
144	160	60
145	161	59
146	161	58
147	162	57
148	163	55
149	164	54
150	164	53
151	165	52
152	166	51
153	167	49
154	168	48
155	168	47
156	169	46
157	170	45
158	171	44
159	172	43
160	172	41
161	173	40
162	174	39
163	175	38
164	175	37
165	176	36
166	177	35
167	178	33
168	178	32
169	179	31
170	180	30
171	181	29
172	182	28
173	182	27
174	183	26
175	184	25
176	185	24
177	186	22
178	186	21
179	187	20
180	188	19
181	189	18
182	189	17
183	190	16
184	191	15
185	192	14
186	193	13
187	193	12
188	194	11
189	195	10
190	196	9
191	196	8
192	197	7
193	198	6
194	199	5
195	200	4
196	200	3
197	201	2
198	202	1
199	203	0
